web-scraper-order,web-scraper-start-url,linkgetter,linkgetter-href,MarkaAdi,Modeladi,Renk,Hiz,MaxTork,Silindir,Depo,Tuketim,Sübap,Guvenlik Group,Model_Yili,Kasa_Tipi,Konfor Group,Rehin_Durum,Haciz_Durum,Tsi(Turbo Supercharger Injection),Yakit,Sanziman,Max_Güc,Garanti,Aktarma,Konum_detay,Konum_sehir,Fiyat
"1669745502-902","https://dod.com.tr/arac-arama?page=82","Volkswagen Polo","https://dod.com.tr/arac-detay/Volkswagen/Polo/223100086","Volkswagen","Polo","Fildişi","170 Km/h","95","3","40","4.1","12","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör - 6HÇok Fonksiyonlu Direksiyon - FDDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Yol Bilgisayarı - YBYükseklik Ayarlı Sürücü Koltuğu""}]","Yok*","Yok*","1 Lt","Benzin","Manuel","75 Hp","3 Aylık DOD Garanti","Önden Çekiş","Gümüş - İskenderun","Hatay","400.000₺"
"1669745510-903","https://dod.com.tr/arac-arama?page=82","Volkswagen Polo","https://dod.com.tr/arac-detay/Volkswagen/Polo/213423252","Volkswagen","Polo","Uranüs Gri","175 Km/h","230","4","40","4.5","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elekt. Çekiş Kontrol Sistemi -Elektronik Fren Basinç DagilimElektronik Stabilite Programı Fren Asistanı-BAS Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör-6HÇok fonksiyonlu Direksiyon-FDDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı Ayna - Elektronik Direksiyon Ayarı - Elektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Yol Bilgisayari - YBYükseklik Ayarlı S.Koltuğu""}]","Yok*","Yok*","1.6 Lt","Dizel","Manuel","80 Hp","Garantisiz","Önden Çekiş","DOD City Esenyurt","İstanbul","411.500₺"
"1669745518-904","https://dod.com.tr/arac-arama?page=82","Volkswagen Polo","https://dod.com.tr/arac-detay/Volkswagen/Polo/221900161","Volkswagen","Polo","Saf Beyaz","175 Km/h","230","4","40","4.5","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör - 6HÇok Fonksiyonlu Direksiyon - FDDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Yol Bilgisayarı - YBYükseklik Ayarlı Sürücü Koltuğu""}]","Yok*","Yok*","1.6 Lt","Dizel","Manuel","80 Hp","Garantisiz","Önden Çekiş","Ahlatcı S","Çorum","415.000₺"
"1669745527-905","https://dod.com.tr/arac-arama?page=82","Volkswagen Polo","https://dod.com.tr/arac-detay/Volkswagen/Polo/223432367","Volkswagen","Polo","Beyaz","185 Km/h","250","4","40","4.5","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSÖn Park İkazı - ÖPİ Sürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör - 6HAlüminyum Alaşım Jant - AJÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Yol Bilgisayarı - YBYükseklik Ayarlı Sürücü KoltuğuYükseklik Ayarlı Yolcu Koltuğu""}]","Yok*","Yok*","1.6 Lt","Dizel","Otomatik","95 Hp","3 Aylık DOD Garanti","Önden Çekiş","Altur","İstanbul","445.000₺"
"1669745535-906","https://dod.com.tr/arac-arama?page=82","Volkswagen Polo","https://dod.com.tr/arac-detay/Volkswagen/Polo/213420305","Volkswagen","Polo","Beyaz","187 Km/h","175","3","40","5.8","12","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park Ikazi - PS Elekt. Çekiş Kontrol Sistemi -Elektronik Fren Basinç DagilimElektronik Stabilite Programı Fren Asistanı-BAS Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSÖn Park İkazı - ÖPİ Sürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör-6HAlüminyum Alaşım Jant -AJÇok fonksiyonlu Direksiyon-FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı Ayna - Elektronik Direksiyon Ayarı - Elektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Yol Bilgisayari - YBYükseklik Ayarlı S.KoltuğuYükseklik Ayarlı Y.Koltuğu""}]","Yok*","Yok*","1 Lt","Benzin","Otomatik","95 Hp","Garantisiz","Önden Çekiş","DOD City Esenyurt","İstanbul","450.000₺"
"1669745544-907","https://dod.com.tr/arac-arama?page=82","Volkswagen Polo","https://dod.com.tr/arac-detay/Volkswagen/Polo/223426383","Volkswagen","Polo","Beyaz","185 Km/h","250","4","40","4.5","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park Ikazi - PS Elekt. Çekiş Kontrol Sistemi -Elektronik Fren Basinç DagilimElektronik Stabilite Programı Fren Asistanı-BAS Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSÖn Park İkazı - ÖPİ Sürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör-6HAlüminyum Alaşım Jant -AJÇok fonksiyonlu Direksiyon-FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı Ayna - Elektronik Direksiyon Ayarı - Elektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Yol Bilgisayari - YBYükseklik Ayarlı S.KoltuğuYükseklik Ayarlı Y.Koltuğu""}]","Yok*","Yok*","1.6 Lt","Dizel","Otomatik","95 Hp","3 Aylık DOD Garanti","Önden Çekiş","Altur","İstanbul","467.000₺"
"1669745552-908","https://dod.com.tr/arac-arama?page=82","Volkswagen Caddy","https://dod.com.tr/arac-detay/Volkswagen/Caddy/221000119","Volkswagen","Caddy","Sarı","172 Km/h","250","4","55","5.9","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSÖn Sis Farı - SFÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Cityvan","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör - 6HÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Direksiyondan K. Müzik SistemiElektrikli Ön Camlar - 2OECElektrikli ve Isıtmalı AynaHidrolik Direksiyon - HD Manuel Klima - AC Radyo Cd - RCTorpido Gözü Soğutması - TGSYol Bilgisayarı - YBYükseklik Ayarlı Direksiyon - YADYükseklik Ayarlı Sürücü Koltuğu""}]","Yok*","Yok*","2 Lt","Dizel","Manuel","102 Hp","3 Aylık DOD Garanti","Önden Çekiş","Yağcı Balıkesir","Balıkesir","472.000₺"
"1669745564-909","https://dod.com.tr/arac-arama?page=82","Volkswagen Polo","https://dod.com.tr/arac-detay/Volkswagen/Polo/223432371","null","null","null","null","null","null","null","null","null","[]","null","null","[]","null","null","null","null","null","null","null","null","null","null","null"
"1669745576-910","https://dod.com.tr/arac-arama?page=82","Volkswagen Polo","https://dod.com.tr/arac-detay/Volkswagen/Polo/220100914","null","null","null","null","null","null","null","null","null","[]","null","null","[]","null","null","null","null","null","null","null","null","null","null","null"
"1669745584-911","https://dod.com.tr/arac-arama?page=82","Volkswagen Polo","https://dod.com.tr/arac-detay/Volkswagen/Polo/223432373","Volkswagen","Polo","Beyaz","185 Km/h","250","4","40","4.5","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSÖn Park İkazı - ÖPİ Sürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2018","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör - 6HAlüminyum Alaşım Jant - AJÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Yol Bilgisayarı - YBYükseklik Ayarlı Sürücü KoltuğuYükseklik Ayarlı Yolcu Koltuğu""}]","Yok*","Yok*","1.6 Lt","Dizel","Otomatik","95 Hp","3 Aylık DOD Garanti","Önden Çekiş","Altur","İstanbul","475.000₺"
