web-scraper-order,web-scraper-start-url,linkgetter,linkgetter-href,MarkaAdi,Modeladi,Renk,Hiz,MaxTork,Silindir,Depo,Tuketim,Sübap,Guvenlik Group,Model_Yili,Kasa_Tipi,Konfor Group,Rehin_Durum,Haciz_Durum,Tsi(Turbo Supercharger Injection),Yakit,Sanziman,Max_Güc,Garanti,Aktarma,Konum_detay,Konum_sehir,Fiyat
"1669728823-109","https://dod.com.tr/arac-arama?page=145","Ford Fiesta","https://dod.com.tr/arac-detay/Ford/Fiesta/220601460","Ford","Fiesta","Gümüş Gri","167 Km/h","124","4","45","8.6","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıImmobilizer - IMM Sürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2004","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları4 Hoparlör - 4HDeri Direksiyon - DDi Direksiyondan K. Müzik SistemiElektrikli Ön Camlar - 2OECElektrikli ve Isıtmalı AynaHidrolik Direksiyon - HD Manuel Klima - AC Radyo Teyp - RT Yükseklik Ayarlı Direksiyon - YAD""}]","Yok*","Yok*","1.4 Lt","Benzin","Manuel","80 Hp","Garantisiz","Önden Çekiş","Eskihisar","Ankara","210.000₺"
"1669728830-110","https://dod.com.tr/arac-arama?page=145","Peugeot 206","https://dod.com.tr/arac-detay/Peugeot/206/220100443","Peugeot","206","Açık Sarı","172 Km/h","120","4","50","8.4","8","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elektronik Fren Basinç DagilimImmobilizer - IMM Karanlık Sensörlü Farlar - KSFÖn Sis Farı-SFÖn ve Arka Tavan Hava YastıklaÖn Yan hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2005","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları6 Hoparlör-6HDireksiyondan K. Müzik SistemiElektrikli Ön Camlar - 2OECElektrikli ve Isıtmalı Ayna - Hidrolik Direksiyon - HD Manuel Klima - AC Radyo Teyp - RT Yükseklik Ayarlı Direksiyon - YAD""}]","Yok*","Yok*","1.4 Lt","Benzin","Manuel","75 Hp","Garantisiz","Önden Çekiş","Aykan Adana","Adana","170.000₺"
"1669728838-111","https://dod.com.tr/arac-arama?page=145","Hyundai Getz","https://dod.com.tr/arac-detay/Hyundai/Getz/223800258","HYUNDAİ","Getz","Mavi","166 Km/h","119","4","45","null","12","[{""Guvenlik Group"":""Güvenlik DonanımlarıImmobilizer - IMM Merkezi Kilit - MKÖn Sis Farı - SFSürücü Hava YastığıYolcu Hava Yastığı""}]","2006","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları4 Hoparlör - 4HElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaHidrolik Direksiyon - HD Manuel Klima - AC Spoiler - S Yol Bilgisayarı - YBYükseklik Ayarlı Direksiyon - YADYükseklik Ayarlı Sürücü Koltuğu""}]","Yok*","Yok*","1.3 Lt","LPG","Manuel","70 Hp","Garantisiz","Önden Çekiş","Aykan Kayseri","Kayseri","285.000₺"
"1669728848-112","https://dod.com.tr/arac-arama?page=145","Audi A6","https://dod.com.tr/arac-detay/Audi/A6/223431928","Audi","A6","Mavi","240 Km/h","450","6","80","11.9","24","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Immobilizer - IMM İç Denetimli Alarm - ALKaranlık Sensörlü Farlar - KSFÖn Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2007","Wagon","[{""Konfor Group"":""Konfor Aksesuarları10 Hoparlör - 10H2 Bölgeli Otomatik Klima - 2BKAlüminyum Alaşım Jant - AJArka Kol Dayama - KDCD Çalar 6'lı - CD6Deri Direksiyon - DDi Deri Vites Topuzu - DVTElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektro-Servo Direksiyon - ELSHız Sabitleyici - CC Hidrolik Direksiyon - HD MP3lü CD ÇalarPort Bagaj - PB Yol Bilgisayarı - YBYükseklik Ayarlı Direksiyon - YAD""}]","Yok*","Yok*","3 Lt","Dizel","Otomatik","225 Hp","Garantisiz","4x4","Tamaş","İstanbul","680.000₺"
"1669728856-113","https://dod.com.tr/arac-arama?page=145","Ford Fusion","https://dod.com.tr/arac-detay/Ford/Fusion/225500725","Ford","Fusion","Aytozu Gri","176 Km/h","146","4","45","10.3","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elektronik Fren Basınç DağıtımıImmobilizer - IMM Ön Sis Farı - SFSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2007","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları4 Hoparlör - 4HAlüminyum Alaşım Jant - AJDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Ön Camlar - 2OECElektrikli ve Isıtmalı AynaHidrolik Direksiyon - HD Manuel Klima - AC Radyo Cd - RCYol Bilgisayarı - YBYükseklik Ayarlı Direksiyon - YAD""}]","Yok*","Yok*","1.6 Lt","Benzin","Otomatik","100 Hp","Garantisiz","Önden Çekiş","Erçal","Samsun","286.750₺"
"1669728871-114","https://dod.com.tr/arac-arama?page=144","Honda City","https://dod.com.tr/arac-detay/Honda/City/222000226","Honda","City","Gri","175 Km/h","119","4","42","7.2","8","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elektronik Fren Basınç DağıtımıFren Asistanı - BAS Immobilizer - IMM Ön Sis Farı - SFÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2007","Sedan","[{""Konfor Group"":""Konfor Aksesuarları4 Hoparlör - 4HAlüminyum Alaşım Jant - AJElektrikli Arka Camlar - 2AECElektrikli Katla. Dış Aynalar Elektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD Manuel Klima - AC Radyo Cd - RC""}]","Yok*","Yok*","1.3 Lt","Benzin","Manuel","83 Hp","Garantisiz","Önden Çekiş","Batı Denizli","Denizli","282.900₺"
"1669728879-115","https://dod.com.tr/arac-arama?page=144","Mazda Mazda3","https://dod.com.tr/arac-detay/Mazda/Mazda3/225500716","Mazda","Mazda3","Titanyum Gri","185 Km/h","145","4","55","9.3","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Fren Asistanı - BAS Immobilizer - IMM Ön Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2007","Sedan","[{""Konfor Group"":""Konfor Aksesuarları4 Hoparlör - 4HAlüminyum Alaşım Jant - AJArka Kol Dayama - KDCD Çalar 6'lı - CD6Çok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Açılır Tavan  - EATElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaHidrolik Direksiyon - HD Manuel Klima - AC Yol Bilgisayarı - YBYükseklik Ayarlı Direksiyon - YAD""}]","Yok*","Yok*","1.6 Lt","Benzin","Manuel","105 Hp","Garantisiz","Önden Çekiş","Erçal","Samsun","265.950₺"
"1669728887-116","https://dod.com.tr/arac-arama?page=144","Volkswagen Touareg","https://dod.com.tr/arac-detay/Volkswagen/Touareg/220900123","Volkswagen","Touareg","Galapagos Antrasit","209 Km/h","Yok*","6","100","14.4","24","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Arka Park İkazı - PS Bi-Xenon Far - BXEN Eğim İniş Kontrolü-HDCElekt. Çekiş Kontrol SistemiElektronik Diferansiyel Kilidi-EDLElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Far Yıkama - FY Fren Asistanı - BAS Immobilizer - IMM İç Denetimli Alarm - ALKaranlık Sensörlü Farlar - KSFÖn Park İkazı - ÖPİ Ön Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUyarlanabilir Far Sistemi - UFUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2007","Arazi aracı","[{""Konfor Group"":""Konfor Aksesuarları10 Hoparlör - 10H2 Bölgeli Otomatik Klima - 2BK4'lü Havalı Süsp. - 4HS Adaptif Süspansiyon SistemiAhsap Kaplama Konsol- AKK Alüminyum Alaşım Jant - AJArka Kol Dayama - KDCD Çalar 6'lı - CD6Çok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Döşeme - DDDeri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Açılır Tavan  - EATElektrikli açilir sunroofElektrikli Arka Camlar - 2AECElektrikli Katla. Dış Aynalar Elektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHafızalı Sürücü KoltuğuHafızalı Yolcu KoltuğuHız Sabitleyici - CC Hidrolik Direksiyon - HD Isıtmalı Arka KoltukIsıtmalı Yolcu KoltuğuKayak Bölmesi - KBMobil Telefon Ön Hazırlığı - MOtomatik Yükseklik Ayarlayıcı Port Bagaj - PB Pusula - P Radyo Cd - RCSüspansiyon Yükseklik Ayarı -HTorpido Gözü Soğutması - TGSYol Bilgisayarı - YB""}]","Yok*","Yok*","3 Lt","Dizel","Otomatik","225 Hp","Garantisiz","4x4","Lena Aydın","Aydın","790.000₺"
"1669728895-117","https://dod.com.tr/arac-arama?page=144","Citroen C4 Picasso","https://dod.com.tr/arac-detay/Citroen/C4%20Picasso/220100638","Citroen","C4 PICASSO","Gece Siyahı","180 Km/h","260","4","60","6.8","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıArka Park İkazı - PS Bi-Xenon Far - BXEN Elekt. Çekiş Kontrol SistemiElektronik Fren Basınç DağıtımıElektronik Stabilite Programı Far Yıkama - FY Fren Asistanı - BAS Immobilizer - IMM Karanlık Sensörlü Farlar - KSFLastik Basınç Sensörleri - LBSÖn Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıUyarlanabilir Far Sistemi - UFUzak.Kum.Merk.Kilit - UKMKYolcu Hava Yastığı""}]","2008","MPV","[{""Konfor Group"":""Konfor Aksesuarları2 Bölgeli Otomatik Klima - 2BK4'lü Havalı Süsp. - 4HS 6 Hoparlör - 6HAlüminyum Alaşım Jant - AJCD Çalar 5'li - CD5 Çok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Direksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli Katla. Dış Aynalar Elektro-Servo Direksiyon - ELSHız Sabitleyici - CC Hidrolik Direksiyon - HD Manuel Arka Perde - MAP Manuel Yan Perdeler - MYPMP3lü CD ÇalarPanoramik Cam Tavan - PCTSoğutmalı Orta Konsol - SOK Spoiler - S Yol Bilgisayarı - YBYükseklik Ayarlı Direksiyon - YAD""}]","Yok*","Yok*","1.6 Lt","Dizel","Otomatik","110 Hp","Garantisiz","Önden Çekiş","Aykan Adana","Adana","311.000₺"
"1669728903-118","https://dod.com.tr/arac-arama?page=144","Toyota Auris","https://dod.com.tr/arac-detay/Toyota/Auris/220100997","Toyota","Auris","Gümüş Gri","190 Km/h","157","4","55","8.5","16","[{""Guvenlik Group"":""Güvenlik DonanımlarıABS Fren - ABS Anahtarsız Sistem - KG Elektronik Fren Basınç DağıtımıFren Asistanı - BAS Immobilizer - IMM Karanlık Sensörlü Farlar - KSFÖn Sis Farı - SFÖn ve Arka Tavan Hava YastıklarıÖn Yan Hava YastıklarıSürücü Hava YastığıYolcu Hava Yastığı""}]","2008","Hatchback","[{""Konfor Group"":""Konfor Aksesuarları2 Bölgeli Otomatik Klima - 2BK6 Hoparlör - 6HAlüminyum Alaşım Jant - AJArka Kol Dayama - KDÇok Fonksiyonlu Direksiyon - FDDeri Direksiyon - DDi Deri Vites Topuzu - DVTDireksiyondan K. Müzik SistemiElektrikli Arka Camlar - 2AECElektrikli ve Isıtmalı AynaElektronik Direksiyon AyarıElektro-Servo Direksiyon - ELSHidrolik Direksiyon - HD MP3lü CD ÇalarYol Bilgisayarı - YB""}]","Yok*","Yok*","1.6 Lt","Benzin","Otomatik","124 Hp","Garantisiz","Önden Çekiş","Aykan Adana","Adana","345.000₺"
